Sonia Weber,Lorem.ipsum@cursusvestibulumMauris.com,False
Daryl Lowe,auctor@magnis.org,False
Vernon Carroll,at@magnaUttincidunt.org,False
Basil Gilliam,mauris.sagittis@sem.com,False
Mechelle Cobb,nec.euismod.in@mattis.co.uk,False
Edan Booker,egestas@massaMaurisvestibulum.edu,False
Igor Wyatt,semper.auctor.Mauris@Crasdolordolor.edu,False
Ethan Franklin,risus.Quisque@condimentum.com,True
Reed Williamson,Donec@nislMaecenasmalesuada.net,False
Price Singleton,Aenean.gravida@atrisus.edu,False

Travis Shepherd,at@sed.org,False
Hoyt Glass,ac.arcu.Nunc@auctor.edu,False
Jennifer Aguirre,nunc.Quisque.ornare@nibhAliquam.co.uk,False
Cassady Ayers,non.arcu@mauriseu.com,True
Colin Myers,fringilla.cursus.purus@erategetipsum.ca,True
Herrod Curtis,Fusce.fermentum@tellus.co.uk,True
Cecilia Park,dolor.tempus.non@ipsum.net,False
Hop Byrd,blandit.congue.In@libero.com,True
Beatrice Silva,nec.tempus.mauris@Suspendisse.com,True
Alden Morales,felis@urnaconvalliserat.org,False
